p2_virus_name,hp3_virus_name
Alphacoronavirus 1 (Canine coronavirus),Canine_coronavirus
Alphacoronavirus 1 (Transmissible gastroenteritis virus),Transmissible_gastroenteritis_virus
Alphacoronavirus NL63,
Avian paramyxovirus 6,
Bat alphacoronavirus/GS2013/HuB2013,
Bat coronavirus 1,
Bat coronavirus 512/2005,
Bat coronavirus Anlong 57/43,
Bat coronavirus BM48-31/BGR/2008,
Bat coronavirus Hipposideros,
Bat coronavirus HKU10,
Bat coronavirus HKU2,
Bat coronavirus HKU6,
Bat coronavirus HKU8,
Bat coronavirus HKU9,
Bat coronavirus RS3376,
Bat coronavirus RS4125/4259,
Bat paramyxovirus isolate BtHp-ParaV/GD2012,
Bat paramyxovirus R_aeg_UPE766/525/122,
Bat paramyxovirus/B16-40,
Beilong virus,
Betacoronavirus 1 (Bovine CoV),
Betacoronavirus 1 (Canine strain),
Betacoronavirus 1 (OC43),
Betacoronavirus 1 (Porcine hemagglutinating encephalomyelitis virus),
Chaerephon bat coronavirus/Kenya/KY22/2006,
Coronavirus 229E (Bat strain),
Coronavirus 229E (Human strain),Human_coronavirus_229E
Dengue virus,Dengue_virus
Duck coronavirus,
Ebolavirus (EBOV-Zaire),Zaire_ebolavirus
Eidolon bat coronavirus,
Eidolon bat coronavirus/Kenya/KY24/2006,
Hipposideros bat alphacoronavirus MJ/67C,
Human Coronavirus HKU1,
Human Enterovirus B,Human_enterovirus_B
Human Parainfluenzavirus 1,Human_parainfluenza_virus_1
Human Parainfluenzavirus 2,Human_parainfluenza_virus_2
Human Parainfluenzavirus 3,Human_parainfluenza_virus_3
Human Parainfluenzavirus 4,Human_parainfluenza_virus_4
Infectious bronchitis virus (IBV),
Influenza A,Influenza_A_virus
Influenza B,Influenza_B_virus
Kenya bat coronavirus BtKY33/2006,
Kenya bat coronavirus BtKY83/59/58,
Kenya bat coronavirus/BtKY56/BtKY55,
Lonquan Aa mouse coronavirus,
Measles virus,Measles_virus
Monkey pox,Monkeypox_virus
Mumps virus,Mumps_virus
Murine coronavirus,Murine_hepatitis_virus
Myotis alphacoronavirus,
Newcastle disease virus,Newcastle_disease_virus
Nipah virus,Nipah_virus
Pan paniscus lymphocryptovirus 1,
Peste des petits ruminants (PPR),Peste-des-petits-ruminants_virus
Philippines/Diliman1525G2/2008,
Pigeon-dominant coronavirus,
Porcine parainfluenzavirus 1,
Pteropus poliocephalus paramyxovirus,
Rhinolophus/Hipposideros alphacoronavirus,
Rodent coronavirus,
Rousettus bat coronavirus GCCDC1/346/356,
Rousettus bat coronavirus/NRC-1,
Rousettus bat coronavirus/NRC-2,
SARS-related betacoronavirus,
SARS-related betacoronavirus RsSHC014,
Seoul virus,Seoul_virus
Tembusu virus,Tembusu_virus
Thottapalayam virus,Thottapalayam_virus
Wencheng Sm shrew coronavirus,
Zaria bat coronavirus,
Zika virus,Zika_virus